Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
132.Benga Oana  ,  figuran ,  human , flexitarian , 
132.Stanescu Stelian  ,  figuran ,  vampire , anything , 
132.Bozgă Neculai  ,  figuran ,  werewolf , anything , 
132.Alexandrescu Ion  ,  figuran ,  human , flexitarian , 
132.Bercu Valeriu  ,  figuran ,  mermaid , anything , 
132.Bonciu Marian  ,  figuran ,  human , vegetarian , 
132.Bodnăraș Mihaela  ,  figuran ,  human , anything , 
132.Bercu Emilian  ,  figuran ,  human , flexitarian , 
132.Botezan Luchian  ,  figuran ,  vampire , flexitarian , 
132.Alexandrescu Luciana  ,  figuran ,  mermaid , vegetarian , 
132.Badea Aurelia  ,  figuran ,  mermaid , flexitarian , 
132.Balauru Ioachim  ,  figuran ,  mermaid , flexitarian , 
132.Brateș Stefan  ,  figuran ,  mermaid , flexitarian , 
132.Balanici Ilie  ,  figuran ,  vampire , flexitarian , 
132.Georgescu Anca  ,  figuran ,  seer , flexitarian , 
132.Stanescu Dionisie  ,  figuran ,  werewolf , flexitarian , 
132.Albu  Matei  ,  figuran ,  seer , anything , 
132.Adamescu Ciprian  ,  figuran ,  werewolf , anything , 
132.Bozga Fanurie  ,  figuran ,  werewolf , flexitarian , 
132.Bârcă Ruxandra  ,  figuran ,  seer , flexitarian , 
132.Bîrloiu Madalina  ,  figuran ,  seer , anything , 
132.Athanasiu Eugen  ,  figuran ,  human , vegetarian , 
132.Brenduș Marin  ,  figuran ,  mermaid , vegetarian , 
132.Bîrloiu Manuela  ,  figuran ,  human , anything , 
132.Bozga Iosif  ,  figuran ,  vampire , anything , 
132.Bucur  Basarab  ,  figuran ,  human , vegetarian , 
132.Bîrlea Ancuta  ,  figuran ,  mermaid , flexitarian , 
132.Bizău Doru  ,  figuran ,  werewolf , anything , 
132.Grigorescu Oana  ,  figuran ,  mermaid , anything , 
132.Bercea Amalia  ,  figuran ,  human , flexitarian , 
132.Bechet  Iolanda  ,  figuran ,  human , vegetarian , 
132.Agaparian Petre  ,  figuran ,  human , flexitarian , 
132.Anghelache Raluca  ,  figuran ,  werewolf , flexitarian , 
132.Dumitrescu Elena  ,  figuran ,  seer , anything , 
132.Brumaru Adelin  ,  figuran ,  mermaid , flexitarian , 
132.Anghelache Gabriela  ,  figuran ,  vampire , flexitarian , 
132.Balauru Petru  ,  figuran ,  seer , flexitarian , 
132.Bănățeanu Damian  ,  figuran ,  vampire , anything , 
132.Florescu Marius  ,  figuran ,  human , vegetarian , 
132.Albu  Adriana  ,  figuran ,  seer , flexitarian , 
132.Bălănescu Diana  ,  figuran ,  mermaid , vegetarian , 
132.Bosânceanu Costel  ,  figuran ,  seer , vegetarian , 
132.Alexa  Adelin  ,  figuran ,  seer , vegetarian , 
132.Barna Daniel  ,  figuran ,  werewolf , vegetarian , 
132.Budeanu Ioan  ,  figuran ,  human , vegetarian , 
132.Beclean  Nectarie  ,  figuran ,  werewolf , vegetarian , 
132.Andoni Serban  ,  figuran ,  seer , anything , 
132.Begu Oana  ,  figuran ,  mermaid , anything , 
132.Bătrîneanu Luchian  ,  figuran ,  mermaid , vegetarian , 
132.Botnari Angelica  ,  figuran ,  vampire , flexitarian , 
132.Bănulescu Ioachim  ,  figuran ,  vampire , anything , 
132.Barcianu  Lacramioara  ,  figuran ,  seer , flexitarian , 
132.Brumaru Ioachim  ,  figuran ,  human , anything , 
132.Bechet  Damian  ,  figuran ,  vampire , vegetarian , 
132.Adameșteanu Luiza  ,  figuran ,  human , flexitarian , 
132.Bratu Anca  ,  figuran ,  human , vegetarian , 
132.Albulescu Basarab  ,  figuran ,  human , flexitarian , 
132.Bălănescu Nicolae  ,  figuran ,  human , vegetarian , 
132.Basarabeanu Matei  ,  figuran ,  seer , flexitarian , 
132.Bordea Diana  ,  figuran ,  human , anything , 
132.Botnaru Alexie  ,  figuran ,  mermaid , anything , 
132.Stanescu Petre  ,  figuran ,  mermaid , flexitarian , 
132.Bădărău Sebastian  ,  figuran ,  human , flexitarian , 
132.Brenduș Lidia  ,  figuran ,  seer , anything , 
132.Botnari Ghita  ,  figuran ,  werewolf , anything , 
132.Bîrloiu Diana  ,  figuran ,  human , vegetarian , 
132.Antal Manuel  ,  figuran ,  seer , anything , 
132.Bodescu Ioana  ,  figuran ,  mermaid , flexitarian , 
132.Brumaru Basarab  ,  figuran ,  human , anything , 
132.Baracci Marin  ,  figuran ,  werewolf , vegetarian , 
132.Arnautu Bogdan  ,  figuran ,  seer , vegetarian , 
132.Bazon Stefan  ,  figuran ,  seer , flexitarian , 
132.Bozga Cristi  ,  figuran ,  vampire , flexitarian , 
132.Bolliac Gratiela  ,  figuran ,  vampire , flexitarian , 
132.Bereș Andreas  ,  figuran ,  mermaid , anything , 
132.Botean Oana  ,  figuran ,  werewolf , flexitarian , 
132.Brumaru Basarab  ,  figuran ,  werewolf , anything , 
132.Bărboianu Liliana  ,  figuran ,  seer , anything , 
132.Borăscu Anton  ,  figuran ,  human , anything , 
132.Averescu  Brandusa  ,  figuran ,  werewolf , vegetarian , 
132.Brânzeu Stefan  ,  figuran ,  mermaid , flexitarian , 
132.Andone Liviu  ,  figuran ,  werewolf , anything , 
132.Bărbulescu Benedict  ,  figuran ,  human , flexitarian , 
132.Bujo Dida  ,  figuran ,  human , anything , 
132.Grigorescu George  ,  figuran ,  seer , flexitarian , 
132.Anghelache Sorin  ,  figuran ,  vampire , flexitarian , 
132.Florescu Gabriel  ,  figuran ,  werewolf , vegetarian , 
132.Bodescu Florentina  ,  figuran ,  mermaid , flexitarian , 
132.Bucurescu Basarab  ,  figuran ,  human , anything , 
132.Bărbuceanu Nectarie  ,  figuran ,  mermaid , anything , 
132.Bănulescu Stefan  ,  figuran ,  mermaid , vegetarian , 
132.Bărboianu Grigore  ,  figuran ,  vampire , anything , 
132.Bănică Ciprian  ,  figuran ,  human , anything , 
132.Adoc Cazimir  ,  figuran ,  human , anything , 
132.Bîrlea George  ,  figuran ,  seer , anything , 
132.Barbu Razvan  ,  figuran ,  vampire , anything , 
132.Alexa  Ileana  ,  figuran ,  mermaid , flexitarian , 
132.Avramescu Anisoara  ,  figuran ,  human , anything , 
132.Brediceanu Marin  ,  figuran ,  mermaid , anything , 
132.Bogos Amalia  ,  figuran ,  mermaid , anything , 
132.Alifantis Eugen  ,  figuran ,  seer , flexitarian , 
132.Argeșanu Andrei  ,  figuran ,  vampire , anything , 
132.Adameșteanu Norbert  ,  figuran ,  vampire , vegetarian , 
132.Bordea Mihaela  ,  figuran ,  human , anything , 
132.Botezan Gabriela  ,  figuran ,  seer , flexitarian , 
132.Bacalbașa Emilian  ,  figuran ,  werewolf , vegetarian , 
132.Angelescu Cornel  ,  figuran ,  vampire , anything , 
132.Baconsky Geta  ,  figuran ,  werewolf , anything , 
132.Boștină Aurelia  ,  figuran ,  mermaid , flexitarian , 
132.Băsescu  Pavel  ,  figuran ,  human , anything , 
132.Băsescu  Alex  ,  figuran ,  seer , anything , 
132.Bodnăraș Andreas  ,  figuran ,  mermaid , vegetarian , 
132.Valisescu Cristina  ,  figuran ,  seer , vegetarian , 
132.Bujo Cristina  ,  figuran ,  mermaid , anything , 
132.Banciu  Florina  ,  figuran ,  mermaid , flexitarian , 
132.Breban Benone  ,  figuran ,  human , vegetarian , 
132.Brătianu Denisa  ,  figuran ,  mermaid , anything , 
132.Almășan Toma  ,  figuran ,  human , anything , 
132.Bazon Gabriel  ,  figuran ,  vampire , anything , 
132.Baconsky Denis  ,  figuran ,  vampire , anything , 
132.Brănescu Camelia  ,  figuran ,  human , anything , 
132.Arnăutu Dragos  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Luca  ,  figuran ,  vampire , anything , 
132.Bălan Laurentiu  ,  figuran ,  mermaid , vegetarian , 
132.Botnari Gelu  ,  figuran ,  human , flexitarian , 
132.Basarabeanu Daniel  ,  figuran ,  human , anything , 
132.Baconschi Felicia  ,  figuran ,  mermaid , anything , 
132.Băloșescu Calin  ,  figuran ,  seer , flexitarian , 
132.Baconsky Gratiela  ,  figuran ,  vampire , vegetarian , 
132.Valisescu Mihai  ,  figuran ,  mermaid , anything , 
132.Bârsănescu Andrei  ,  figuran ,  vampire , vegetarian , 
132.Borcea Adelin  ,  figuran ,  human , flexitarian , 
132.Bârcă Amalia  ,  figuran ,  werewolf , vegetarian , 
132.Negoita Geta  ,  figuran ,  mermaid , anything , 
132.Brănescu Liliana  ,  figuran ,  mermaid , anything , 
132.Adamescu Ion  ,  figuran ,  mermaid , anything , 
132.Bârcă Filoftea  ,  figuran ,  human , flexitarian , 
132.Bărboianu Daniel  ,  figuran ,  vampire , vegetarian , 
132.Balauru Manuel  ,  figuran ,  werewolf , anything , 
132.Balanici Andrei  ,  figuran ,  human , vegetarian , 
132.Angelescu Barbu  ,  figuran ,  werewolf , vegetarian , 
132.Buhagiar Razvan  ,  figuran ,  human , vegetarian , 
132.Brașoveanu Iurie  ,  figuran ,  mermaid , anything , 
132.Bentoiu Daniel  ,  figuran ,  mermaid , anything , 
132.Bozga Gratiela  ,  figuran ,  seer , vegetarian , 
132.Bogos Aurelia  ,  figuran ,  mermaid , flexitarian , 
132.Bujo Aurelia  ,  figuran ,  vampire , flexitarian , 
132.Băloșescu Luminita  ,  figuran ,  mermaid , flexitarian , 
132.Agîrbiceanu Aurelia  ,  figuran ,  human , flexitarian , 
132.Basarabeanu Nicolae  ,  figuran ,  vampire , flexitarian , 
132.Apostol Ana  ,  figuran ,  mermaid , vegetarian , 
132.Bădărău Lazar  ,  figuran ,  vampire , anything , 
132.Avramescu Cezar  ,  figuran ,  vampire , vegetarian , 
132.Boteanu Marian  ,  figuran ,  vampire , vegetarian , 
132.Adameșteanu Filip  ,  figuran ,  human , vegetarian , 
132.Bibescu Emilian  ,  figuran ,  human , vegetarian , 
132.Bozgă Vasile  ,  figuran ,  human , flexitarian , 
132.Angelescu Benone  ,  figuran ,  human , flexitarian , 
132.Adamache Emilian  ,  figuran ,  mermaid , flexitarian , 
132.Arnăutu Matei  ,  figuran ,  werewolf , anything , 
132.Antal Luca  ,  figuran ,  vampire , flexitarian , 
132.Bega  Gelu  ,  figuran ,  human , anything , 
132.Brediceanu Aurelia  ,  figuran ,  vampire , anything , 
132.Bădulescu Diana  ,  figuran ,  mermaid , anything , 
132.Brănescu Emilian  ,  figuran ,  human , anything , 
132.Berindei  Anca  ,  figuran ,  vampire , vegetarian , 
132.Brânzeu Alexie  ,  figuran ,  mermaid , anything , 
132.Bătrîneanu Andreea  ,  figuran ,  vampire , flexitarian , 
132.Antonescu Mihai  ,  figuran ,  vampire , flexitarian , 
132.Athanasiu Felicia  ,  figuran ,  vampire , vegetarian , 
132.Brediceanu Florina  ,  figuran ,  human , vegetarian , 
132.Argetoianu Norbert  ,  figuran ,  werewolf , vegetarian , 
132.Baciu Anisoara  ,  figuran ,  human , flexitarian , 
132.Botezan Teodosie  ,  figuran ,  human , vegetarian , 
132.Grigorescu Flavia  ,  figuran ,  werewolf , flexitarian , 
132.Berindei  Felicia  ,  figuran ,  mermaid , vegetarian , 
132.Anghel Leon  ,  figuran ,  seer , vegetarian , 
132.Botnaru Paul  ,  figuran ,  werewolf , anything , 
132.Athanasiu Augustina  ,  figuran ,  werewolf , anything , 
132.Bozga Ana  ,  figuran ,  mermaid , anything , 
132.Botezan Ilarie  ,  figuran ,  mermaid , anything , 
132.Bercea Anisoara  ,  figuran ,  human , vegetarian , 
132.Breban Vasile  ,  figuran ,  human , vegetarian , 
132.Apostol Laurentiu  ,  figuran ,  mermaid , anything , 
132.Brătescu Anica  ,  figuran ,  werewolf , flexitarian , 
132.Alexi Adelin  ,  figuran ,  vampire , flexitarian , 
132.Ardelean Cezar  ,  figuran ,  human , vegetarian , 
132.Anghelescu Maria  ,  figuran ,  seer , flexitarian , 
132.Bejenaru Liviu  ,  figuran ,  werewolf , vegetarian , 
132.Blaga  Pavel  ,  figuran ,  mermaid , anything , 
132.Basarabeanu Ioan  ,  figuran ,  mermaid , vegetarian , 
132.Antonescu Constanta  ,  figuran ,  werewolf , vegetarian , 
132.Bichineț Bujor  ,  figuran ,  human , vegetarian , 
132.Antal Adrian  ,  figuran ,  vampire , flexitarian , 
132.Budeanu Mariana  ,  figuran ,  human , vegetarian , 
132.Băsescu  Grigore  ,  figuran ,  mermaid , vegetarian , 
132.Brediceanu Cornel  ,  figuran ,  vampire , anything , 
132.Botnari Cecilia  ,  figuran ,  mermaid , flexitarian , 
132.Adameșteanu Denisa  ,  figuran ,  vampire , vegetarian , 
132.Athanasiu Luiza  ,  figuran ,  seer , flexitarian , 
132.Athanasiu Liviu  ,  figuran ,  mermaid , anything , 
132.Bălțat Diana  ,  figuran ,  human , flexitarian , 
132.Ardelean Martin  ,  figuran ,  vampire , anything , 
132.Brătianu Felix  ,  figuran ,  human , flexitarian , 
132.Valisescu Petre  ,  figuran ,  human , vegetarian , 
132.Brânzeu Leon  ,  figuran ,  seer , flexitarian , 
132.Popescu Lazar  ,  figuran ,  seer , anything , 
132.Berghianu Laur  ,  figuran ,  mermaid , vegetarian , 
132.Brânzan Anghel  ,  figuran ,  mermaid , flexitarian , 
132.Bălăceanu Cosmin  ,  figuran ,  human , vegetarian , 
132.Arnăuțoiu Luca  ,  figuran ,  seer , flexitarian , 
132.Budeanu Oana  ,  figuran ,  seer , vegetarian , 
132.Brâncoveanu  Eduard  ,  figuran ,  vampire , vegetarian , 
132.Baghiu Anisoara  ,  figuran ,  werewolf , flexitarian , 
132.Anghelescu David  ,  figuran ,  seer , flexitarian , 
132.Antonescu Constantin  ,  figuran ,  human , vegetarian , 
132.Brașoveanu Antonia  ,  figuran ,  werewolf , vegetarian , 
132.Andone Antoaneta  ,  figuran ,  seer , anything , 
132.Bibescu Arsenie  ,  figuran ,  werewolf , flexitarian , 
132.Bizău Elena  ,  figuran ,  seer , anything , 
132.Alexandrescu Norbert  ,  figuran ,  seer , anything , 
132.Averescu  Dionisie  ,  figuran ,  seer , vegetarian , 
132.Baconsky Laurentiu  ,  figuran ,  werewolf , vegetarian , 
132.Aldulescu Craciun  ,  figuran ,  mermaid , vegetarian , 
132.Apetrei Irina  ,  figuran ,  seer , vegetarian , 
132.Balanici Dan  ,  figuran ,  seer , flexitarian , 
132.Amânar Stefan  ,  figuran ,  werewolf , flexitarian , 
132.Bănățeanu Aniela  ,  figuran ,  vampire , vegetarian , 
132.Angelescu Barbu  ,  figuran ,  seer , vegetarian , 
132.Arnăutu Sorina  ,  figuran ,  mermaid , vegetarian , 
132.Antoci Dimitrie  ,  figuran ,  seer , flexitarian , 
132.Dumitrescu Ileana  ,  figuran ,  seer , flexitarian , 
132.Beclean  Filoftea  ,  figuran ,  seer , anything , 
132.Brînzan Felicia  ,  figuran ,  mermaid , anything , 
132.Broșteanu Calin  ,  figuran ,  werewolf , vegetarian , 
132.Baconschi Laurentiu  ,  figuran ,  mermaid , vegetarian , 
132.Brătianu Adelin  ,  figuran ,  seer , flexitarian , 
132.Bădulescu Denisa  ,  figuran ,  werewolf , flexitarian , 
132.Baconsky Anghel  ,  figuran ,  seer , anything , 
132.Braghiș Anghel  ,  figuran ,  vampire , anything , 
132.Bodnăraș Cosmin  ,  figuran ,  seer , anything , 
132.Bozgă Raluca  ,  figuran ,  werewolf , vegetarian , 
132.Bibescu George  ,  figuran ,  human , flexitarian , 
132.Armășescu Eduard  ,  figuran ,  seer , flexitarian , 
132.Bosînceanu Ciprian  ,  figuran ,  human , vegetarian , 
132.Bujo Anton  ,  figuran ,  seer , vegetarian , 
132.Barzin Iosif  ,  figuran ,  mermaid , flexitarian , 
132.Boteanu Costel  ,  figuran ,  seer , flexitarian , 
132.Brânzeu David  ,  figuran ,  werewolf , vegetarian , 
132.Florescu Sebastian  ,  figuran ,  vampire , flexitarian , 
132.Bodnăraș Lidia  ,  figuran ,  werewolf , anything , 
132.Baracci Gheorghe  ,  figuran ,  mermaid , flexitarian , 
132.Bănică Iosif  ,  figuran ,  human , anything , 
132.Becali Ionuț  ,  figuran ,  seer , vegetarian , 
132.Bodiul Ilie  ,  figuran ,  werewolf , flexitarian , 
132.Bosînceanu Dochia  ,  figuran ,  werewolf , vegetarian , 
132.Georgescu Benone  ,  figuran ,  seer , vegetarian , 
132.Bodiul Matei  ,  figuran ,  human , flexitarian , 
132.Apostoleanu Constanta  ,  figuran ,  mermaid , flexitarian , 
132.Armășescu Fanurie  ,  figuran ,  human , anything , 
132.Buhuș Pavel  ,  figuran ,  seer , anything , 
132.Balanici Benone  ,  figuran ,  mermaid , flexitarian , 
132.Bercu David  ,  figuran ,  seer , flexitarian , 
132.Armășescu Lucretiu  ,  figuran ,  werewolf , anything , 
132.Asachi Aurica  ,  figuran ,  mermaid , flexitarian , 
132.Stanescu Cosmin  ,  figuran ,  vampire , vegetarian , 
132.Albulescu Anca  ,  figuran ,  vampire , vegetarian , 
132.Baconski  Ileana  ,  figuran ,  vampire , vegetarian , 
132.Baconsky Iustin  ,  figuran ,  werewolf , vegetarian , 
132.Adameșteanu Denis  ,  figuran ,  human , vegetarian , 
132.Bîrloiu Marius  ,  figuran ,  vampire , flexitarian , 
132.Băsescu  Apostol  ,  figuran ,  mermaid , vegetarian , 
132.Braghiș Adam  ,  figuran ,  vampire , anything , 
132.Botnaru Alex  ,  figuran ,  seer , vegetarian , 
132.Buhuș Gratiela  ,  figuran ,  mermaid , anything , 
132.Bârloiu Magdalena  ,  figuran ,  werewolf , vegetarian , 
132.Bordea Anisoara  ,  figuran ,  human , flexitarian , 
132.Almășan Teodor  ,  figuran ,  werewolf , anything , 
132.Barcianu  Decebal  ,  figuran ,  mermaid , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  vampire , anything , 
132.Bărbuceanu Aurica  ,  figuran ,  mermaid , anything , 
132.Bălănescu Doina  ,  figuran ,  human , anything , 
132.Almaș Bujor  ,  figuran ,  vampire , flexitarian , 
132.Bătrîneanu Petre  ,  figuran ,  human , vegetarian , 
132.Barzin Angelica  ,  figuran ,  human , flexitarian , 
132.Belimace Aniela  ,  figuran ,  mermaid , flexitarian , 
132.Bozga Matei  ,  figuran ,  mermaid , flexitarian , 
132.Asachi Dochia  ,  figuran ,  werewolf , anything , 
132.Bozga Georgeta  ,  figuran ,  seer , flexitarian , 
132.Bănulescu Bujor  ,  figuran ,  werewolf , vegetarian , 
132.Brudașcu Oscar  ,  figuran ,  vampire , anything , 
132.Bărboianu Geanina  ,  figuran ,  werewolf , vegetarian , 
132.Bârlădeanu Luchian  ,  figuran ,  human , anything , 
132.Bârloiu Decebal  ,  figuran ,  human , vegetarian , 
132.Borăscu Andreea  ,  figuran ,  seer , flexitarian , 
132.Băsescu  Ioachim  ,  figuran ,  seer , flexitarian , 
132.Botnari Valeriu  ,  figuran ,  seer , anything , 
132.Andronic Dumitru  ,  figuran ,  human , vegetarian , 
132.Bîrloiu Sebastian  ,  figuran ,  human , anything , 
132.Andreoiu Adrian  ,  figuran ,  mermaid , anything , 
132.Bizău Gabriela  ,  figuran ,  mermaid , vegetarian , 
132.Albulescu Benone  ,  figuran ,  vampire , vegetarian , 
132.Bădărău Eugenia  ,  figuran ,  human , flexitarian , 
132.Bratu Dumitru  ,  figuran ,  vampire , vegetarian , 
132.Apostu Valeriu  ,  figuran ,  human , anything , 
132.Bîrloiu Andreea  ,  figuran ,  human , flexitarian , 
132.Ionescu Gabriel  ,  figuran ,  werewolf , flexitarian , 
132.Argeșanu Gheorghe  ,  figuran ,  mermaid , vegetarian , 
132.Barbu Amalia  ,  figuran ,  vampire , flexitarian , 
132.Buhagiar Costel  ,  figuran ,  human , anything , 
132.Ardeleanu David  ,  figuran ,  vampire , flexitarian , 
132.Bozgă Cristofor  ,  figuran ,  werewolf , anything , 
132.Athanasiu Teodosie  ,  figuran ,  werewolf , vegetarian , 
132.Bonciu Dan  ,  figuran ,  vampire , vegetarian , 
132.Alexa  Adrian  ,  figuran ,  vampire , anything , 
132.Brezeanu Valentin  ,  figuran ,  vampire , flexitarian , 
132.Bănică Gratiela  ,  figuran ,  mermaid , anything , 
132.Negoita Zahari  ,  figuran ,  mermaid , flexitarian , 
132.Aman Ionuț  ,  figuran ,  werewolf , flexitarian , 
132.Grigorescu Sorina  ,  figuran ,  seer , flexitarian , 
132.Buhuș Florica  ,  figuran ,  seer , anything , 
132.Bujo Anisoara  ,  figuran ,  mermaid , anything , 
132.Bechet  Madalin  ,  figuran ,  mermaid , vegetarian , 
132.Brâncuși  Laur  ,  figuran ,  mermaid , anything , 
132.Balanici Ilarie  ,  figuran ,  vampire , flexitarian , 
132.Athanasiu Grigore  ,  figuran ,  seer , anything , 
132.Agaparian Manole  ,  figuran ,  mermaid , anything , 
132.Alexe Anica  ,  figuran ,  seer , vegetarian , 
132.Băsescu  Anca  ,  figuran ,  seer , vegetarian , 
132.Alexe Flavia  ,  figuran ,  seer , anything , 
132.Andronic Lucretiu  ,  figuran ,  seer , flexitarian , 
132.Brătescu Eusebiu  ,  figuran ,  vampire , anything , 
132.Boteanu Damian  ,  figuran ,  human , flexitarian , 
132.Almășan Benjamin  ,  figuran ,  mermaid , vegetarian , 
132.Băsescu  Matei  ,  figuran ,  mermaid , vegetarian , 
132.Bănățeanu Eduard  ,  figuran ,  mermaid , vegetarian , 
132.Argeșanu Brandusa  ,  figuran ,  seer , vegetarian , 
