Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Albulescu Benone   ,   figuran ,   human  , anything ,  anything  , anything ,   , anything , 
132.Bădărău Eugenia   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Bratu Dumitru   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Apostu Valeriu   ,   figuran ,   mermaid  , anything ,  vegetarian  , anything ,   , anything , 
132.Bîrloiu Andreea   ,   figuran ,   human  , anything ,  anything  , flexitarian ,   , anything , 
132.Ionescu Gabriel   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , anything , 
132.Argeșanu Gheorghe   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Barbu Amalia   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Buhagiar Costel   ,   figuran ,   mermaid  , anything ,  anything  , vegetarian ,   , anything , 
132.Ardeleanu David   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Bozgă Cristofor   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Athanasiu Teodosie   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bonciu Dan   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Alexa  Adrian   ,   figuran ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Brezeanu Valentin   ,   figuran ,   human  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bănică Gratiela   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , anything , 
132.Negoita Zahari   ,   figuran ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Aman Ionuț   ,   figuran ,   human  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Grigorescu Sorina   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Buhuș Florica   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bujo Anisoara   ,   figuran ,   human  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Bechet  Madalin   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Brâncuși  Laur   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , flexitarian , 
132.Balanici Ilarie   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Athanasiu Grigore   ,   figuran ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Agaparian Manole   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Alexe Anica   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Băsescu  Anca   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Alexe Flavia   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Andronic Lucretiu   ,   figuran ,   seer  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Brătescu Eusebiu   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Boteanu Damian   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Almășan Benjamin   ,   figuran ,   human  , anything ,  anything  , flexitarian ,   , anything , 
132.Băsescu  Matei   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bănățeanu Eduard   ,   figuran ,   human  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Argeșanu Brandusa   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Brătescu Anisoara   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Anghelache Camelia   ,   figuran ,   werewolf  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Brumaru Martin   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Popescu Iurie   ,   figuran ,   werewolf  , anything ,  anything  , anything ,   , flexitarian , 
132.Andronic Laur   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Aldulescu Aniela   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Antoci Ancuta   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bega  Anisoara   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bălan Anghel   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Aldulescu Spiridon   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Botezan Vasile   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Breban Angelica   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Apostoleanu Benone   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Basarabeanu Denis   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Baconsky Ioana   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Boteanu Basarab   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Stanescu Ghita   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Adamache Efrem   ,   figuran ,   vampire  , anything ,  anything  , vegetarian ,   , anything , 
132.Bîrloiu Apostol   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Apostoleanu Anton   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Brateș Felix   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Brenduș Filip   ,   figuran ,   human  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Băloșescu Cazimir   ,   figuran ,   werewolf  , anything ,  anything  , anything ,   , anything , 
132.Aman Augustina   ,   figuran ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Besoiu Cecilia   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Botezan Alin   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bechet  Bartolomeu   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Alifantis Dan   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bazon Stefan   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Brateș Adam   ,   figuran ,   human  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Almășan Aurora   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Andreoiu Andreea   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Brediceanu Gheorghe   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , anything , 
132.Botnaru Anca   ,   figuran ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Popescu Ioachim   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Brânzeu Doina   ,   figuran ,   mermaid  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Bârloiu Ciprian   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bizău Laur   ,   figuran ,   mermaid  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Berghianu Dionisie   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bănică Mariana   ,   figuran ,   seer  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Bătrâneanu Lacramioara   ,   figuran ,   mermaid  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Basarabeanu Oscar   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Avramescu Anton   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Arnautu Camil   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Alexandrescu Martin   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Alexi Fanurie   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bârlădeanu Dionisie   ,   figuran ,   seer  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bodiu Loredana   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Ardeleanu Andrei   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Banciu  Irina   ,   figuran ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Berghianu Stefan   ,   figuran ,   mermaid  , anything ,  anything  , flexitarian ,   , anything , 
132.Brateș Leon   ,   figuran ,   vampire  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bănulescu Mihail   ,   figuran ,   seer  , anything ,  anything  , anything ,   , vegetarian , 
132.Bosânceanu Liviu   ,   figuran ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Bărboianu Vasile   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bozgă Lucretiu   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , anything , 
132.Brâncoveanu  Laurentiu   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Botean Emilian   ,   figuran ,   seer  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bodescu Laura   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Bălțat Liviu   ,   figuran ,   human  , anything ,  anything  , anything ,   , anything , 
132.Buhagiar Maria   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Budescu Geta   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Argeșanu Ion   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Badea Cosmin   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Begu Adriana   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Angelescu Eugen   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Bârcă Petre   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Albulescu Anisoara   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Bichineț Denisa   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Borcea Razvan   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Botezan Efrem   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Barzin Adam   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Bengescu Benjamin   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bătrîneanu Mihai   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bosânceanu Aurelia   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bănulescu Cristina   ,   figuran ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Brediceanu Gratiela   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bereș Filoftea   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bărbuceanu Mariana   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Agârbiceanu Teodosie   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Brânzeu Lucretia   ,   figuran ,   werewolf  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Bodescu Mariana   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Adoc Dionisie   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bujo Augustina   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bogza Pavel   ,   figuran ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Armășescu Basarab   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , anything , 
132.Bodescu Laura   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Brâncuși  Dochia   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Aman Iacob   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Adamache Ionuț   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Borcea Loredana   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Adamache Ruxandra   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Arnăutu Nicolai   ,   figuran ,   human  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Antoci Grigore   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Boroianu Aurelia   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bârlădeanu Stefan   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Dumitrescu Pavel   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , anything , 
132.Baconski  Dimitrie   ,   figuran ,   seer  , anything ,  flexitarian  , anything ,   , anything , 
132.Boștină Vladimir   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bălănescu Mariana   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , anything , 
132.Barbu Ileana   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bordea Andrei   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Bîrloiu Benedict   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Breban Damian   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bărboianu Loredana   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Barcianu  Georgeta   ,   figuran ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Andone Luciana   ,   figuran ,   human  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Brumaru Lazar   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , anything , 
132.Budescu Liliana   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Bercea Doru   ,   figuran ,   human  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Brânzeu Luminita   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Adamescu Manuel   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Aman Anica   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Bercu Lucretiu   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Barbu Horia   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Andone Manuela   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Balanici Norbert   ,   figuran ,   human  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Bârloiu Emilian   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , vegetarian , 
132.Arnautu Ciprian   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bereș Nicolae   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Baghiu Serban   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Valisescu Dimitrie   ,   figuran ,   vampire  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Baicu Leon   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Agârbiceanu Cornel   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Brâncoveanu  Benedict   ,   figuran ,   mermaid  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Boteanu Carmen   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Budeanu Stefan   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Argetoianu Eduard   ,   figuran ,   vampire  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Berindei  Augustina   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bosânceanu Andreea   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Botnaru Teodor   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , anything , 
